,subj_idx,source,target,variable,value
245,51,No_Ref,Self_Ref,RT1b,0.0005465226564969339
246,52,No_Ref,Self_Ref,RT1b,0.00037042518390684176
247,53,No_Ref,Self_Ref,RT1b,-0.0004379815704760037
248,54,No_Ref,Self_Ref,RT1b,-2.4994733607730525e-06
249,55,No_Ref,Self_Ref,RT1b,-0.001474182689779019
250,56,No_Ref,Self_Ref,RT1b,-0.0008572667940422829
251,57,No_Ref,Self_Ref,RT1b,4.620840301635676e-05
252,58,No_Ref,Self_Ref,RT1b,-6.913098569163444e-05
253,59,No_Ref,Self_Ref,RT1b,8.071834870780336e-05
254,60,No_Ref,Self_Ref,RT1b,0.001936610566823882
255,61,No_Ref,Self_Ref,RT1b,0.001180132810464568
256,62,No_Ref,Self_Ref,RT1b,0.000973359739837415
257,63,No_Ref,Self_Ref,RT1b,-0.0004431466669279294
258,64,No_Ref,Self_Ref,RT1b,0.0027038086855988687
259,65,No_Ref,Self_Ref,RT1b,0.00043460058879856713
260,66,No_Ref,Self_Ref,RT1b,-0.00047557751186541597
261,67,No_Ref,Self_Ref,RT1b,-0.0002860553584654979
262,68,No_Ref,Self_Ref,RT1b,0.0013306571395103883
263,69,No_Ref,Self_Ref,RT1b,-0.0010529368155141826
264,70,No_Ref,Self_Ref,RT1b,0.0010871343815396339
265,71,No_Ref,Self_Ref,RT1b,0.00034318052551429723
266,72,No_Ref,Self_Ref,RT1b,0.0005271638569957938
267,73,No_Ref,Self_Ref,RT1b,1.4720257288775019e-05
268,74,No_Ref,Self_Ref,RT1b,0.00011470520481353663
269,75,No_Ref,Self_Ref,RT1b,-0.0008581975727764368
270,76,No_Ref,Self_Ref,RT1b,2.5986016467871576e-05
271,77,No_Ref,Self_Ref,RT1b,0.0005354861548568901
272,78,No_Ref,Self_Ref,RT1b,0.0009537605379225545
273,79,No_Ref,Self_Ref,RT1b,-0.0006759217353586478
274,80,No_Ref,Self_Ref,RT1b,-0.0005762842714460536
275,81,No_Ref,Self_Ref,RT1b,0.0007187994876727555
276,82,No_Ref,Self_Ref,RT1b,0.0008660213034006603
277,83,No_Ref,Self_Ref,RT1b,0.00027131404464796895
278,84,No_Ref,Self_Ref,RT1b,0.0006514874385203595
279,85,No_Ref,Self_Ref,RT1b,-0.0011134235731730003
280,86,No_Ref,Self_Ref,RT1b,-4.886483688028576e-05
281,87,No_Ref,Self_Ref,RT1b,-0.001044627701981482
282,88,No_Ref,Self_Ref,RT1b,0.0002692247898658462
283,89,No_Ref,Self_Ref,RT1b,0.0011495290411146664
