,subID,score,source,target
91,1162,0.5767609126984128,No_Ref,No_Ref
92,1164,0.5963775510204082,No_Ref,No_Ref
93,1165,0.693156562538585,No_Ref,No_Ref
94,1166,0.5959865789134081,No_Ref,No_Ref
95,1168,0.4806073648971784,No_Ref,No_Ref
96,1169,0.6347127384035789,No_Ref,No_Ref
97,1170,0.6328918123385595,No_Ref,No_Ref
98,1172,0.4891064533921677,No_Ref,No_Ref
99,1173,0.45474175921029436,No_Ref,No_Ref
100,1174,0.6370689655172415,No_Ref,No_Ref
101,1176,0.5555379412386388,No_Ref,No_Ref
102,1177,0.5113324899852414,No_Ref,No_Ref
103,1215,0.5822168857431749,No_Ref,No_Ref
104,1216,0.6002028397565922,No_Ref,No_Ref
105,1217,0.6372991097236675,No_Ref,No_Ref
106,1218,0.46866327474560593,No_Ref,No_Ref
107,1219,0.4676488229119808,No_Ref,No_Ref
108,1220,0.7106879606879607,No_Ref,No_Ref
109,1221,0.5441483803552769,No_Ref,No_Ref
110,1222,0.45324614300258437,No_Ref,No_Ref
111,1223,0.47849037632864116,No_Ref,No_Ref
112,1224,0.375990099009901,No_Ref,No_Ref
113,1225,0.4124508519003932,No_Ref,No_Ref
114,1226,0.5015817515817516,No_Ref,No_Ref
115,1227,0.46747590808005934,No_Ref,No_Ref
116,1228,0.5468013468013468,No_Ref,No_Ref
117,1229,0.3894993894993895,No_Ref,No_Ref
118,1230,0.5242784380305603,No_Ref,No_Ref
119,1231,0.5741005139920046,No_Ref,No_Ref
120,1232,0.4736790510734242,No_Ref,No_Ref
121,1233,0.6040703052728955,No_Ref,No_Ref
122,1234,0.4767156862745098,No_Ref,No_Ref
123,1235,0.6127769919849128,No_Ref,No_Ref
124,1236,0.7266940853897376,No_Ref,No_Ref
125,1237,0.3654295246038366,No_Ref,No_Ref
126,5201,0.4998273445069784,No_Ref,No_Ref
127,5202,0.5517288736815671,No_Ref,No_Ref
128,5203,0.6059200812107789,No_Ref,No_Ref
129,5204,0.6141237480298948,No_Ref,No_Ref
130,5205,0.6096448691435499,No_Ref,No_Ref
131,5206,0.6366496086694762,No_Ref,No_Ref
132,5207,0.6376112845415655,No_Ref,No_Ref
133,5208,0.6005378545881455,No_Ref,No_Ref
134,5209,0.5422644073872165,No_Ref,No_Ref
135,5210,0.5848099998569815,No_Ref,No_Ref
136,5211,0.6026287127799006,No_Ref,No_Ref
137,5212,0.5923802500554286,No_Ref,No_Ref
138,5213,0.5545366795366795,No_Ref,No_Ref
139,5215,0.6416298755008432,No_Ref,No_Ref
